Year,Average Exchange Rate(NAIRA/USD)
1980,0.55
1981,0.61
1982,0.673
1983,0.724
1984,0.765
1985,0.894
1986,2.02
1987,4.02
1988,4.54
1989,7.39
1990,7.39
1991,8.04
1992,9.91
1993,17.3
1994,22.33
1995,21.89
1996,21.89
1997,21.89
1998,21.89
1999,21.89
2000,85.98
2001,102.5
2002,111.0
2003,120.5
2004,128.5
2005,134.0
2006,130.15
2007,122.5
2008,117.75
2009,158.0
2010,151.505
2011,158.075
2012,158.295
2013,158.055
2014,184.5
2015,249.5
2016,439.5
2017,333.0
2018,360.0
2019,305.0
2020,361.0
2021,399.0
2022,423.0
2023,633.83
2024,1465.04
